Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
92, 0.044770886190235615, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47465372297073327
93, 0.060761171765625475, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47472725764701595
94, 0.07481426056474447, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747272874686121
95, 0.06977367624640465, 127.0.0.1:9020-127.0.0.2:9784, 1674497396.1, 1674497397.1, 0, 0, 0.17487770452710943
96, 0.06560104005038739, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.1, 1674497397.1, 0, 0, 0.17487855145934564
97, 0.060291707143187524, 127.0.0.6:3692-127.0.0.5:443, 1674497396.1, 1674497397.1, 0, 0, 0.1748777045913621
98, 0.06091448366641998, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747273097354312
99, 0.07510527782142162, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4745947863623794
100, 0.08476913459599018, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924042808643
101, 0.08908693939447403, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.47479245139118975
102, 0.07450412586331367, 127.0.0.1:9020-127.0.0.2:9784, 1674497396.1, 1674497397.1, 0, 0, 0.17487770452710943
103, 0.06542818956077098, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.1, 1674497397.1, 0, 0, 0.17487835597641888
104, 0.06072444263845682, 127.0.0.6:3692-127.0.0.5:443, 1674497396.1, 1674497397.1, 0, 0, 0.17487770794980015
105, 0.07520108949393034, 127.0.0.1:1386-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4747924389716173
106, 0.08448537569493056, 127.0.0.1:1387-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4746742733862855
107, 0.08383067604154348, 127.0.0.1:1388-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
108, 0.07805835567414761, 127.0.0.1:1389-127.0.0.6:23, 1674497396.1, 1674497397.1, 1, 1, 0.4485354682792536
109, 0.06394260823726654, 127.0.0.1:9020-127.0.0.2:9784, 1674497396.2, 1674497397.2, 0, 0, 0.17487770452710943
110, 0.05539628099650144, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.2, 1674497397.2, 0, 0, 0.17491122440808413
111, 0.050942474789917466, 127.0.0.6:3692-127.0.0.5:443, 1674497396.2, 1674497397.2, 0, 1, 0.4485354682792536
112, 0.06281473711133004, 127.0.0.1:1386-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4485354682792536
113, 0.07237320579588413, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4747429789188743
114, 0.06646501515060663, 127.0.0.1:9020-127.0.0.2:9784, 1674497396.2, 1674497397.2, 0, 0, 0.17487770452710943
115, 0.0611832395195961, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.2, 1674497397.2, 0, 0, 0.17494010020407497
116, 0.06128311445936561, 127.0.0.1:1387-127.0.0.6:23, 1674497396.2, 1674497397.2, 1, 1, 0.4748101187395645
117, 0.06073621977120638, 127.0.0.1:9020-127.0.0.2:9784, 1674497396.2, 1674497397.2, 0, 0, 0.17487770452710943
118, 0.06601843759417533, 127.0.0.6:8382-127.0.0.8:8100, 1674497396.2, 1674497397.2, 0, 1, 0.4745560570427313
119, 0.0658108914270997, 127.0.0.1:9020-127.0.0.2:9784, 1674497397.6, 1674497398.6, 0, 0, 0.1748777045271098
120, 0.05944320717826486, 127.0.0.6:8382-127.0.0.8:8100, 1674497397.6, 1674497398.6, 0, 0, 0.17487770454297302
121, 0.0493927295319736, 127.0.0.1:1387-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.17498328579627623
122, 0.0351695996709168, 127.0.0.1:1389-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.17487772864829726
123, 0.017649508360773326, 127.0.0.1:1388-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.174877728650601
124, 0.02215914838016033, 127.0.0.6:8382-127.0.0.8:8100, 1674497397.6, 1674497398.6, 0, 1, 0.4485354682792536
125, 0.025438885390758514, 127.0.0.1:1388-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.17498328579627623
126, 0.025136613473296165, 127.0.0.1:1386-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.17487776444925884
127, 0.024719205498695374, 127.0.0.10:80-127.0.0.11:3171, 1674497397.6, 1674497398.6, 0, 0, 0.17487770558946172
128, 0.025033300928771495, 127.0.0.1:1390-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.47316520416786734
129, 0.026229484751820565, 127.0.0.1:1391-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
130, 0.04524895511567593, 127.0.0.1:1392-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
131, 0.06300153844058513, 127.0.0.13:443-127.0.0.4:3646, 1674497397.6, 1674497398.6, 0, 1, 0.4606416786408329
132, 0.05864342674612999, 127.0.0.1:5353-127.0.0.20:5353, 1674497397.6, 1674497398.6, 0, 0, 0.17488027279627275
133, 0.05202906541526318, 127.0.0.1:1393-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 0, 0.1748777652645611
134, 0.0458139942958951, 127.0.0.6:4218-127.0.0.21:7000, 1674497397.6, 1674497398.6, 0, 0, 0.17891312613093435
135, 0.05465879812836647, 127.0.0.1:9020-127.0.0.2:9784, 1674497397.7, 1674497398.7, 0, 0, 0.17487770452710943
136, 0.06284169303253292, 127.0.0.1:1390-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4734088009602551
137, 0.06766059212386608, 127.0.0.1:1391-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4746849020766452
138, 0.06660695672035218, 127.0.0.1:1392-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.47468489959045596
139, 0.0500855652615428, 127.0.0.1:1393-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 0, 0.17487775737544406
140, 0.03468019245192409, 127.0.0.6:4218-127.0.0.21:7000, 1674497397.7, 1674497398.7, 0, 0, 0.17487770461257296
141, 0.020514721795916558, 127.0.0.1:9020-127.0.0.2:9784, 1674497397.8, 1674497398.8, 0, 0, 0.17487770452710943
142, 0.023891377449035644, 127.0.0.1:1389-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 0, 0.17498328579627623
143, 0.030808315984904765, 127.0.0.1:1386-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 0, 0.17487775418859527
144, 0.03579290732741356, 127.0.0.10:80-127.0.0.11:3171, 1674497397.8, 1674497398.8, 0, 0, 0.17487770551344956
145, 0.04047863334417343, 127.0.0.1:1390-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.47362515903108826
146, 0.04056024998426437, 127.0.0.1:1391-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576883532648
147, 0.039729459583759306, 127.0.0.1:1392-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576462969871
148, 0.02438614033162594, 127.0.0.1:5353-127.0.0.20:5353, 1674497397.8, 1674497398.8, 0, 0, 0.17488032290695082
149, 0.025498057156801222, 127.0.0.1:1393-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 0, 0.1748777483095661
150, 0.02503962479531765, 127.0.0.6:4218-127.0.0.21:7000, 1674497397.8, 1674497398.8, 0, 0, 0.17487770452874074
151, 0.02766288463026285, 127.0.0.1:9020-127.0.0.2:9784, 1674497397.9, 1674497398.9, 0, 0, 0.17487770452710943
152, 0.036418072413653135, 127.0.0.10:80-127.0.0.11:3171, 1674497397.9, 1674497398.9, 0, 0, 0.1748777054424412
153, 0.04455322176218033, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4738532328183674
154, 0.049307645112276074, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.47481778650726775
155, 0.048819345980882646, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4748177494068653
156, 0.03415155615657568, 127.0.0.1:5353-127.0.0.20:5353, 1674497397.9, 1674497398.9, 0, 0, 0.17566898881677329
157, 0.019042584951967, 127.0.0.1:1393-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 0, 0.17487774252645436
158, 0.021677361428737642, 127.0.0.6:4218-127.0.0.21:7000, 1674497397.9, 1674497398.9, 0, 0, 0.17487770452876003
159, 0.024795054644346236, 127.0.0.1:9020-127.0.0.2:9784, 1674497397.9, 1674497398.9, 0, 0, 0.17487770452710943
160, 0.03115961831063032, 127.0.0.1:1386-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 0, 0.17487774766639658
161, 0.035933101549744606, 127.0.0.10:80-127.0.0.11:3171, 1674497397.9, 1674497398.9, 0, 0, 0.17487770531395191
162, 0.0404779490083456, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4740194542850476
163, 0.035091090202331546, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
164, 0.029325991123914718, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
165, 0.015450806170701981, 127.0.0.6:4218-127.0.0.21:7000, 1674497397.9, 1674497398.9, 0, 0, 0.1748777055537192
166, 0.016574307531118392, 127.0.0.1:9020-127.0.0.2:9784, 1674497398.0, 1674497399.0, 0, 0, 0.17487770452710943
167, 0.02685954123735428, 127.0.0.1:1386-127.0.0.6:23, 1674497398.0, 1674497399.0, 1, 0, 0.17487774029358963
168, 0.037042279914021495, 127.0.0.10:80-127.0.0.11:3171, 1674497398.0, 1674497399.0, 0, 0, 0.17487770525637875
169, 0.050549783185124396, 127.0.0.1:1390-127.0.0.6:23, 1674497398.0, 1674497399.0, 1, 1, 0.4741627959538373
170, 0.043804462999105453, 127.0.0.1:1393-127.0.0.6:23, 1674497398.0, 1674497399.0, 1, 0, 0.1748777369690102
171, 0.03383389599621296, 127.0.0.6:4218-127.0.0.21:7000, 1674497398.0, 1674497399.0, 0, 0, 0.17487770577252942
172, 0.019437700510025024, 127.0.0.1:9020-127.0.0.2:9784, 1674497398.1, 1674497399.1, 0, 0, 0.17487770452710943
173, 0.01584181785583496, 127.0.0.1:1386-127.0.0.6:23, 1674497398.1, 1674497399.1, 1, 0, 0.17487773548669105
174, 0.015543046221137048, 127.0.0.10:80-127.0.0.11:3171, 1674497398.1, 1674497399.1, 0, 0, 0.17487770520251433
175, 0.029946943372488023, 127.0.0.1:1390-127.0.0.6:23, 1674497398.1, 1674497399.1, 1, 1, 0.4742937302787164
176, 0.029596439749002456, 127.0.0.6:4218-127.0.0.21:7000, 1674497398.1, 1674497399.1, 0, 0, 0.1748777058876649
177, 0.023727351054549217, 127.0.0.1:9020-127.0.0.2:9784, 1674497398.2, 1674497399.2, 0, 0, 0.17487770452710943
178, 0.020390714704990386, 127.0.0.1:1386-127.0.0.6:23, 1674497398.2, 1674497399.2, 1, 0, 0.17487773190718384
179, 0.01591735929250717, 127.0.0.10:80-127.0.0.11:3171, 1674497398.2, 1674497399.2, 0, 0, 0.17487770510674874
180, 0.031059902906417847, 127.0.0.1:1390-127.0.0.6:23, 1674497398.2, 1674497399.2, 1, 1, 0.4744259592711978
181, 0.030885138362646104, 127.0.0.1:1393-127.0.0.6:23, 1674497398.2, 1674497399.2, 1, 0, 0.1748777325031937
182, 0.030676810070872307, 127.0.0.6:4218-127.0.0.21:7000, 1674497398.2, 1674497399.2, 0, 0, 0.17487770452809157
183, 0.024433488398790358, 127.0.0.1:5353-127.0.0.20:5353, 1674497398.2, 1674497399.2, 0, 0, 0.17488029471968106
184, 0.01387239210307598, 127.0.0.1:9020-127.0.0.2:9784, 1674497398.3, 1674497399.3, 0, 0, 0.17487770452710943
185, 0.01433129608631134, 127.0.0.10:80-127.0.0.11:3171, 1674497398.3, 1674497399.3, 0, 0, 0.17487770506296427
186, 0.027576321363449098, 127.0.0.1:1390-127.0.0.6:23, 1674497398.3, 1674497399.3, 1, 1, 0.47452517302150404
187, 0.020719480514526368, 127.0.0.1:1393-127.0.0.6:23, 1674497398.3, 1674497399.3, 1, 0, 0.17487773101262308
188, 0.011029940843582154, 127.0.0.6:4218-127.0.0.21:7000, 1674497398.3, 1674497399.3, 0, 0, 0.17487770452824056
189, 0.014334369823336602, 127.0.0.10:80-127.0.0.11:3171, 1674497398.4, 1674497399.4, 0, 0, 0.1748777050222671
190, 0.027570082619786263, 127.0.0.1:1390-127.0.0.6:23, 1674497398.4, 1674497399.4, 1, 1, 0.4746183227705024
191, 0.02069871798157692, 127.0.0.1:1393-127.0.0.6:23, 1674497398.4, 1674497399.4, 1, 0, 0.17487772752931882
192, 0.010865938663482667, 127.0.0.6:4218-127.0.0.21:7000, 1674497398.4, 1674497399.4, 0, 0, 0.17487770452711016
