Number, Confidence, Flow, Start Time, End Time, Answer Label, Classified Label, Classified Probability
59, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.47316520416786734
60, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
61, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.6, 1674497398.6, 1, 1, 0.4746068196275464
62, 0.9969199895858765, 127.0.0.13:443-127.0.0.4:3646, 1674497397.6, 1674497398.6, 0, 1, 0.4606416786408329
63, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4734088009602551
64, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.4746849020766452
65, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.7, 1674497398.7, 1, 1, 0.47468489959045596
66, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.47362515903108826
67, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576883532648
68, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.8, 1674497398.8, 1, 1, 0.4747576462969871
69, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4738532328183674
70, 0.9969199895858765, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.47481778650726775
71, 0.9969199895858765, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4748177494068653
72, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4740194542850476
73, 0.9757782816886902, 127.0.0.1:1391-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
74, 0.9757782816886902, 127.0.0.1:1392-127.0.0.6:23, 1674497397.9, 1674497398.9, 1, 1, 0.4485354682792536
75, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.0, 1674497399.0, 1, 1, 0.4741627959538373
76, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.1, 1674497399.1, 1, 1, 0.4742937302787164
77, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.2, 1674497399.2, 1, 1, 0.4744259592711978
78, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.3, 1674497399.3, 1, 1, 0.47452517302150404
79, 0.9969199895858765, 127.0.0.1:1390-127.0.0.6:23, 1674497398.4, 1674497399.4, 1, 1, 0.4746183227705024
